evt, seg, ch, val
a,n,1,0
a,n,2,2
a,n,3,2
a,n,4,2
a,n,5,1
a,n,6,0
a,n,7,0
a,n,8,1
a,n,9,1
a,n,10,1
a,n,11,-1
a,n,12,-1
a,n,13,-1
a,n,14,0
a,n,15,0
a,n,16,1
a,n,17,0
a,n,18,0
a,n,19,-1
a,n,20,0
a,n,21,-2
a,n,22,0
a,n,23,-3
a,n,24,-1
a,n,25,-2
a,n,26,-1
a,n,27,0
a,n,28,0
a,n,29,1
a,n,30,3
a,n,31,3
a,n,32,1
a,n,33,0
a,n,34,2
a,n,35,0
a,n,36,0
a,n,37,1
a,n,38,1
a,n,39,1
a,n,40,-1
a,n,41,0
a,n,42,0
a,n,43,1
a,n,44,1
a,n,45,0
a,n,46,0
a,n,47,1
a,n,48,0
a,n,49,0
a,n,50,0
a,n,51,0
a,n,52,0
a,n,53,0
a,n,54,0
a,n,55,-1
a,n,56,-2
a,n,57,-2
a,n,58,0
a,n,59,0
a,n,60,0
a,n,61,0
a,n,62,1
a,n,63,1
a,n,64,1
a,n,65,0
a,n,66,0
a,n,67,1
a,n,68,0
a,n,69,0
a,n,70,0
a,n,71,1
a,n,72,-1
a,n,73,-1
a,n,74,-1
a,n,75,1
a,n,76,0
a,n,77,0
a,n,78,0
a,n,79,0
a,n,80,0
a,n,81,0
a,n,82,0
a,n,83,0
a,n,84,-1
a,n,85,-1
a,n,86,-1
a,n,87,0
a,n,88,0
a,n,89,0
a,n,90,0
a,n,91,0
a,n,92,0
a,n,93,0
a,n,94,-1
a,n,95,0
a,n,96,-1
a,n,97,-1
a,n,98,0
a,n,99,1
a,n,100,0
a,n,101,0
a,n,102,-1
a,n,103,-1
a,n,104,0
a,n,105,0
a,n,106,0
a,n,107,-1
a,n,108,0
a,n,109,-2
a,n,110,-3
a,n,111,-1
a,n,112,-1
a,n,113,0
a,n,114,0
a,n,115,0
a,n,116,-1
a,n,117,-1
a,n,118,0
a,n,119,-1
a,n,120,-2
a,n,121,-1
a,n,122,0
a,n,123,0
a,n,124,0
a,n,125,0
a,n,126,-1
a,n,127,0
a,n,128,-1
a,n,129,1
a,n,130,1
a,n,131,0
a,n,132,1
a,n,133,1
a,n,134,0
a,n,135,0
a,n,136,2
a,n,137,12
a,n,138,25
a,n,139,43
a,n,140,66
a,n,141,94
a,n,142,123
a,n,143,156
a,n,144,189
a,n,145,230
a,n,146,272
a,n,147,318
a,n,148,366
a,n,149,420
a,n,150,473
a,n,151,531
a,n,152,590
a,n,153,648
a,n,154,700
a,n,155,742
a,n,156,776
a,n,157,801
a,n,158,819
a,n,159,835
a,n,160,847
a,n,161,857
a,n,162,867
a,n,163,872
a,n,164,878
a,n,165,880
a,n,166,881
a,n,167,884
a,n,168,888
a,n,169,888
a,n,170,888
a,n,171,886
a,n,172,889
a,n,173,893
a,n,174,893
a,n,175,894
a,n,176,896
a,n,177,897
