evt, seg, ch, val
a,n,1,-1
a,n,2,0
a,n,3,1
a,n,4,0
a,n,5,0
a,n,6,0
a,n,7,0
a,n,8,0
a,n,9,0
a,n,10,0
a,n,11,0
a,n,12,0
a,n,13,0
a,n,14,0
a,n,15,0
a,n,16,0
a,n,17,0
a,n,18,0
a,n,19,0
a,n,20,0
a,n,21,0
a,n,22,0
a,n,23,0
a,n,24,-1
a,n,25,-1
a,n,26,0
a,n,27,0
a,n,28,0
a,n,29,-1
a,n,30,-1
a,n,31,-1
a,n,32,0
a,n,33,0
a,n,34,0
a,n,35,0
a,n,36,0
a,n,37,0
a,n,38,1
a,n,39,0
a,n,40,0
a,n,41,1
a,n,42,1
a,n,43,1
a,n,44,0
a,n,45,1
a,n,46,0
a,n,47,1
a,n,48,2
a,n,49,1
a,n,50,0
a,n,51,1
a,n,52,0
a,n,53,0
a,n,54,0
a,n,55,0
a,n,56,0
a,n,57,0
a,n,58,-1
a,n,59,0
a,n,60,0
a,n,61,0
a,n,62,0
a,n,63,0
a,n,64,-1
a,n,65,0
a,n,66,1
a,n,67,0
a,n,68,0
a,n,69,0
a,n,70,0
a,n,71,0
a,n,72,0
a,n,73,0
a,n,74,0
a,n,75,1
a,n,76,1
a,n,77,1
a,n,78,0
a,n,79,1
a,n,80,0
a,n,81,-1
a,n,82,-1
a,n,83,0
a,n,84,0
a,n,85,0
a,n,86,-1
a,n,87,-1
a,n,88,-1
a,n,89,0
a,n,90,1
a,n,91,-1
a,n,92,0
a,n,93,0
a,n,94,0
a,n,95,0
a,n,96,0
a,n,97,1
a,n,98,-1
a,n,99,-1
a,n,100,-1
a,n,101,-2
a,n,102,-1
a,n,103,-1
a,n,104,0
a,n,105,0
a,n,106,0
a,n,107,1
a,n,108,0
a,n,109,0
a,n,110,-1
a,n,111,0
a,n,112,0
a,n,113,0
a,n,114,0
a,n,115,1
a,n,116,0
a,n,117,-1
a,n,118,0
a,n,119,0
a,n,120,1
a,n,121,0
a,n,122,0
a,n,123,0
a,n,124,0
a,n,125,0
a,n,126,0
a,n,127,0
a,n,128,-1
a,n,129,-2
a,n,130,-2
a,n,131,-2
a,n,132,-1
a,n,133,1
a,n,134,4
a,n,135,16
a,n,136,43
a,n,137,92
a,n,138,158
a,n,139,234
a,n,140,315
a,n,141,389
a,n,142,456
a,n,143,515
a,n,144,564
a,n,145,605
a,n,146,640
a,n,147,669
a,n,148,694
a,n,149,717
a,n,150,738
a,n,151,757
a,n,152,773
a,n,153,793
a,n,154,809
a,n,155,824
a,n,156,838
a,n,157,852
a,n,158,861
a,n,159,869
a,n,160,876
a,n,161,881
a,n,162,884
a,n,163,887
a,n,164,892
a,n,165,893
a,n,166,893
a,n,167,895
a,n,168,897
a,n,169,895
a,n,170,895
a,n,171,895
a,n,172,894
a,n,173,893
a,n,174,894
a,n,175,894
a,n,176,894
a,n,177,893
a,n,178,894
a,n,179,895
a,n,180,895
a,n,181,895
a,n,182,895
a,n,183,894
a,n,184,893
a,n,185,891
a,n,186,892
a,n,187,892
a,n,188,891
a,n,189,889
a,n,190,889
a,n,191,888
a,n,192,890
a,n,193,890
a,n,194,891
a,n,195,891
a,n,196,891
a,n,197,891
a,n,198,891
a,n,199,890
a,n,200,889
a,n,201,890
a,n,202,889
a,n,203,889
a,n,204,890
a,n,205,889
a,n,206,891
a,n,207,892
a,n,208,891
a,n,209,891
a,n,210,890
a,n,211,890
a,n,212,892
a,n,213,891
a,n,214,891
a,n,215,892
a,n,216,892
a,n,217,891
a,n,218,889
a,n,219,891
a,n,220,890
a,n,221,890
a,n,222,892
a,n,223,892
a,n,224,891
a,n,225,890
a,n,226,891
a,n,227,891
a,n,228,892
a,n,229,891
a,n,230,891
a,n,231,890
a,n,232,890
a,n,233,891
a,n,234,889
a,n,235,888
a,n,236,887
a,n,237,887
a,n,238,888
a,n,239,888
a,n,240,888
a,n,241,890
a,n,242,889
a,n,243,888
a,n,244,888
a,n,245,887
a,n,246,888
a,n,247,886
a,n,248,886
a,n,249,885
a,n,250,886
a,n,251,885
a,n,252,885
a,n,253,884
a,n,254,885
a,n,255,885
a,n,256,885
a,n,257,884
a,n,258,884
a,n,259,883
a,n,260,883
a,n,261,884
a,n,262,883
a,n,263,882
a,n,264,882
a,n,265,882
a,n,266,883
a,n,267,883
a,n,268,883
a,n,269,884
a,n,270,882
a,n,271,884
a,n,272,883
a,n,273,882
a,n,274,884
a,n,275,884
a,n,276,883
a,n,277,883
a,n,278,883
a,n,279,883
a,n,280,880
a,n,281,880
a,n,282,879
a,n,283,880
a,n,284,881
a,n,285,882
a,n,286,880
a,n,287,-249
a,n,288,-249
a,n,289,7
a,n,290,7
a,n,291,7
a,n,292,7
a,n,293,7
a,n,294,7
a,n,295,7
a,n,296,7
a,n,297,7
a,n,298,7
a,n,299,7
a,n,300,7
a,l,1,0
a,l,2,0
a,l,3,0
a,l,4,0
a,l,5,0
a,l,6,0
a,l,7,0
a,l,8,0
a,l,9,-1
a,l,10,0
a,l,11,0
a,l,12,0
a,l,13,0
a,l,14,0
a,l,15,-2
a,l,16,0
a,l,17,0
a,l,18,0
a,l,19,0
a,l,20,0
a,l,21,0
a,l,22,1
a,l,23,1
a,l,24,0
a,l,25,0
a,l,26,0
a,l,27,1
a,l,28,0
a,l,29,-1
a,l,30,1
a,l,31,1
a,l,32,0
a,l,33,0
a,l,34,0
a,l,35,0
a,l,36,0
a,l,37,-1
a,l,38,-1
a,l,39,0
a,l,40,0
a,l,41,0
a,l,42,0
a,l,43,-1
a,l,44,-2
a,l,45,-1
a,l,46,0
a,l,47,-1
a,l,48,0
a,l,49,0
a,l,50,0
a,l,51,-1
a,l,52,0
a,l,53,0
a,l,54,0
a,l,55,-2
a,l,56,0
a,l,57,-1
a,l,58,-1
a,l,59,-2
a,l,60,-1
a,l,61,0
a,l,62,0
a,l,63,-1
a,l,64,0
a,l,65,0
a,l,66,0
a,l,67,0
a,l,68,-1
a,l,69,-2
a,l,70,-2
